taille, temps
10 ,4.828000
20 ,4.746000
30 ,4.642000
40 ,4.598000
50 ,5.384000
60 ,4.702000
70 ,4.686000
80 ,5.052000
90 ,5.824000
100 ,5.518000
110 ,6.220000
120 ,6.196000
130 ,6.308000
140 ,6.230000
150 ,6.494000
160 ,6.524000
170 ,6.972000
180 ,6.760000
190 ,6.876000
200 ,6.970000
210 ,6.826000
220 ,6.704000
230 ,7.078000
240 ,6.908000
250 ,7.072000
260 ,7.518000
270 ,7.316000
280 ,7.404000
290 ,7.652000
300 ,7.556000
310 ,7.648000
320 ,7.528000
330 ,8.136000
340 ,7.978000
350 ,8.228000
360 ,8.540000
370 ,7.960000
380 ,7.982000
390 ,8.034000
400 ,8.310000
410 ,8.508000
420 ,8.408000
430 ,6.890000
440 ,6.540000
450 ,5.496000
460 ,6.164000
470 ,8.500000
480 ,8.212000
490 ,8.066000
500 ,8.246000
510 ,8.774000
520 ,8.562000
530 ,8.840000
540 ,8.940000
550 ,8.802000
560 ,9.038000
570 ,8.608000
580 ,9.034000
590 ,8.952000
600 ,9.222000
610 ,8.934000
620 ,7.402000
630 ,6.734000
640 ,6.214000
650 ,5.954000
660 ,5.390000
670 ,5.186000
680 ,5.004000
690 ,4.568000
700 ,4.494000
710 ,4.370000
720 ,4.974000
730 ,4.648000
740 ,4.544000
750 ,4.690000
760 ,4.554000
770 ,4.830000
780 ,5.430000
790 ,5.674000
800 ,5.648000
810 ,5.072000
820 ,4.998000
830 ,4.776000
840 ,4.966000
850 ,4.880000
860 ,5.372000
870 ,5.184000
880 ,4.784000
890 ,4.994000
900 ,5.112000
910 ,6.344000
920 ,6.140000
930 ,5.566000
940 ,5.794000
950 ,5.236000
960 ,5.420000
970 ,5.226000
980 ,5.426000
990 ,7.070000
1000 ,5.502000
