taille,tempsrec,tempsiter
10,11.400000,9.042857
20,15.200000,5.685714
30,47.442857,4.900000
40,23.800000,13.814286
50,56.157143,12.757143
60,52.200000,17.314286
70,27.800000,18.457143
80,43.714286,19.785714
90,29.800000,20.957143
100,42.428571,25.300000
110,39.428571,21.657143
120,43.528571,28.114286
130,77.957143,31.014286
140,47.928571,28.228571
150,51.642857,35.728571
160,53.114286,36.357143
170,62.728571,33.700000
180,62.800000,37.400000
190,62.414286,49.228571
200,57.585714,40.628571
210,54.985714,43.542857
220,58.542857,53.300000
230,63.857143,50.957143
240,56.342857,44.528571
250,61.285714,52.714286
260,65.514286,52.071429
270,71.428571,51.271429
280,71.985714,59.785714
290,75.885714,63.914286
300,90.371429,60.185714
310,76.771429,66.200000
320,46.814286,56.200000
330,60.985714,64.542857
340,82.500000,67.685714
350,71.885714,73.500000
360,85.600000,79.200000
370,76.571429,81.000000
380,84.228571,78.171429
390,78.028571,86.842857
400,102.942857,83.428571
410,93.514286,91.885714
420,90.428571,101.514286
430,109.900000,88.957143
440,85.300000,103.300000
450,115.500000,101.071429
460,95.342857,109.800000
470,93.285714,95.942857
480,94.871429,101.042857
490,89.685714,87.442857
500,88.142857,97.657143
510,102.757143,64.300000
520,119.428571,57.371429
530,112.885714,57.128571
540,126.014286,59.914286
550,86.328571,54.428571
560,110.057143,50.071429
570,119.357143,55.314286
580,134.357143,51.800000
590,127.142857,55.742857
600,119.614286,49.728571
610,119.285714,65.528571
620,170.842857,66.228571
630,146.814286,57.600000
640,135.971429,59.214286
650,118.471429,52.014286
660,119.457143,77.171429
670,124.171429,48.800000
680,132.471429,54.842857
690,134.657143,82.271429
700,142.485714,49.957143
710,128.571429,53.614286
720,121.200000,59.614286
730,143.900000,52.642857
740,130.414286,66.771429
750,137.642857,67.485714
760,142.542857,57.785714
770,131.642857,54.542857
780,155.528571,75.171429
790,141.485714,80.171429
800,155.985714,45.385714
810,156.371429,53.271429
820,139.585714,56.114286
830,162.071429,64.500000
840,146.228571,58.085714
850,139.500000,62.071429
860,146.514286,48.085714
870,139.742857,47.142857
880,167.114286,54.342857
890,150.157143,52.414286
900,154.757143,55.771429
910,151.885714,48.542857
920,151.971429,56.571429
930,173.457143,60.328571
940,145.000000,64.485714
950,162.885714,73.914286
960,153.528571,59.114286
970,149.700000,60.942857
980,139.928571,61.942857
990,172.871429,59.785714
1000,160.828571,61.842857
1010,150.157143,44.985714
1020,164.885714,52.014286
1030,187.842857,65.085714
1040,177.685714,47.071429
1050,170.571429,54.700000
1060,176.971429,58.142857
1070,187.657143,52.642857
1080,194.457143,58.471429
1090,178.757143,49.342857
1100,193.228571,54.257143
1110,184.942857,60.542857
1120,183.828571,55.457143
1130,184.471429,68.542857
1140,191.200000,58.900000
1150,176.057143,56.942857
1160,194.600000,65.671429
1170,205.228571,49.300000
1180,210.157143,52.657143
1190,203.085714,53.871429
1200,195.214286,54.885714
1210,195.357143,52.214286
1220,189.328571,50.485714
1230,216.214286,53.085714
1240,198.071429,41.742857
1250,213.228571,52.600000
1260,201.771429,52.442857
1270,221.642857,58.614286
1280,210.100000,60.200000
1290,220.771429,60.442857
1300,191.128571,63.514286
1310,187.914286,58.142857
1320,203.728571,45.614286
1330,212.914286,60.928571
1340,207.628571,62.957143
1350,240.285714,58.371429
1360,217.614286,47.257143
1370,209.485714,55.871429
1380,225.871429,51.500000
1390,213.471429,58.785714
1400,228.971429,49.214286
1410,254.842857,57.928571
1420,224.800000,47.500000
1430,237.285714,65.757143
1440,214.957143,60.657143
1450,227.357143,52.114286
1460,225.328571,64.285714
1470,199.714286,69.528571
1480,259.700000,67.157143
1490,218.242857,51.614286
1500,236.842857,78.242857
